  0.  0.
  0.00232882611  34.469944
  0.00465765223  60.7288589
  0.00698647881  72.2095871
  0.00931530446  69.201767
  0.0116441306  57.7737579
  0.0139729576  43.4364166
  0.0163017828  30.0005779
  0.0186306089  19.6227684
  0.020959435  12.4844818
  0.0232882611  7.90676022
  0.0256170891  5.07414961
  0.0279459152  3.33328533
  0.0302747395  2.26193523
  0.0326035656  1.59592676
  0.0349323936  1.17272401
  0.0372612178  0.893411875
  0.0395900458  0.700662255
  0.0419188701  0.562255859
  0.0442476943  0.458968997
  0.0465765223  0.379788935
  0.0523985885  0.249046519
  0.0582206547  0.172952816
  0.0640427172  0.125429273
  0.0698647872  0.0940548554
  0.0815089196  0.0571415424
  0.0931530446  0.0373866372
  0.104797177  0.0258398354
  0.116441309  0.0186205804
