 5 2317 2 1
 16 2159 2 1
 31 2012 0 0
 39 1890 0 0
 58 1817 0 0
 55 1726 0 0
 69 1772 0 0
 114 1539 0 2
 96 1500 2 0
 93 1432 3 4
 128 1349 2 0
 141 1292 0 0
 144 1246 2 1
 168 1246 0 0
 156 1157 1 0
 175 1031 1 1
 205 1103 1 0
 199 1010 0 1
 204 951 0 0
 221 857 0 0
 259 869 0 0
 228 854 1 1
 231 754 0 0
 246 733 0 1
 268 733 0 2
 256 628 0 1
 269 669 1 0
 313 621 1 1
 303 579 1 0
 290 613 0 1
 292 551 1 1
 327 525 1 0
 350 504 2 0
 329 443 1 1
 334 470 0 0
 329 431 0 0
 339 441 0 1
 338 413 1 1
 353 393 0 3
 407 367 1 3
 383 376 1 2
 375 327 3 1
 375 315 1 1
 389 301 3 0
 398 252 3 1
 380 275 0 0
 416 252 1 2
 442 271 0 0
 389 241 1 1
 456 230 0 2
 443 211 2 0
 444 203 1 1
 465 181 1 1
 415 186 1 3
 432 176 0 0
 418 173 1 1
 400 154 2 0
 426 177 1 2
 475 150 2 1
 433 130 1 1
 455 144 1 3
 446 148 2 1
 455 120 5 4
 404 128 1 4
 439 115 3 2
 432 115 1 1
 436 104 5 1
 422 108 1 4
 449 104 3 3
 438 101 2 0
 461 103 1 3
 442 97 3 2
 466 100 2 4
 454 71 1 8
 439 85 5 6
 439 87 3 7
 440 81 5 2
 422 59 6 3
 397 72 5 4
 417 87 5 5
 422 60 1 6
 458 56 4 4
 451 56 3 5
 423 61 6 6
 424 55 1 3
 395 51 2 9
 413 53 6 3
 370 47 6 14
 407 48 5 5
 368 43 5 5
 401 43 4 6
 396 36 6 5
 405 44 8 10
 371 44 8 8
 345 36 9 6
 388 30 8 8
 356 45 6 9
 345 41 10 10
 363 30 9 13
 363 43 6 8
 322 28 7 17
 309 31 16 13
 357 31 11 7
 341 24 8 9
 319 29 15 17
 327 32 14 14
 315 25 14 13
 316 19 18 14
 337 16 22 15
 303 23 20 30
 309 18 23 23
 295 21 22 22
 297 22 20 16
 284 28 22 20
 288 16 21 29
 253 14 32 32
 253 25 30 48
 276 15 35 28
 284 17 36 33
 249 10 42 30
 283 13 32 43
 260 10 52 45
 238 15 57 51
 246 15 46 32
 253 14 46 38
 225 15 51 50
 229 15 44 47
 248 17 61 60
 203 20 53 67
 231 19 74 66
 191 13 77 68
 203 12 88 75
 185 12 74 89
 171 16 80 84
 175 10 92 88
 183 11 90 74
 171 15 95 112
 180 8 99 103
 171 12 101 118
 178 12 105 102
 162 14 146 108
 158 15 126 126
 145 7 120 132
 149 9 146 119
 122 11 144 156
 143 8 157 148
 140 13 156 181
 114 3 162 163
 142 8 170 190
 131 10 164 190
 108 7 197 211
 136 10 212 180
 119 4 231 202
 106 7 209 225
 105 6 244 237
 116 5 220 238
 105 7 261 274
 115 8 237 251
 94 11 271 263
 101 7 259 285
 94 3 277 243
 89 7 318 284
 87 6 319 318
 84 4 324 323
 92 5 327 319
 87 1 313 325
 90 7 374 374
 79 9 357 404
 93 5 375 378
 77 2 355 366
 83 7 398 407
 61 8 425 385
 77 4 426 404
 70 6 395 416
 72 5 438 457
 57 9 443 497
 60 5 421 450
 69 6 467 489
 73 5 457 466
 55 10 490 490
 52 5 471 516
 52 3 498 471
 52 7 538 527
 51 1 508 528
 57 3 566 588
 48 2 528 523
 38 2 528 564
 44 2 575 608
 44 2 589 569
 41 1 567 571
 41 7 575 542
 35 3 577 599
 45 2 608 626
 40 2 591 561
 34 3 636 587
 30 3 528 587
 44 3 606 592
 41 2 603 544
 30 4 643 582
 43 2 638 593
 29 3 602 584
 30 1 621 564
 32 4 601 646
 27 5 616 595
 28 4 607 591
 31 3 593 615
 24 3 557 580
 23 3 587 567
 14 2 530 597
 26 3 588 578
 19 6 551 517
 20 0 557 545
 28 3 540 556
 27 3 526 515
 14 3 513 571
 25 1 525 503
 16 2 531 463
 17 3 536 478
 14 0 524 519
 13 4 464 486
 12 6 477 472
 18 2 495 520
 13 3 491 496
 15 4 443 446
 21 1 473 473
 17 2 455 436
 22 2 450 453
 22 2 409 428
 13 1 377 409
 15 2 428 378
 16 4 385 401
 11 4 354 396
 14 6 353 375
 17 1 350 342
 11 1 343 361
 12 1 335 341
 18 3 303 292
 17 2 312 315
 13 0 279 315
 9 2 286 298
 12 1 303 288
 12 1 290 275
 10 2 275 273
 7 2 235 250
 13 2 257 233
 7 1 238 217
 9 1 209 228
 9 2 210 187
 8 0 206 185
 8 2 189 193
 9 0 178 175
 11 3 184 165
 10 2 179 145
 7 3 157 153
 6 3 158 168
 7 3 135 144
 5 2 138 149
 6 1 118 138
 8 0 113 127
 8 3 118 125
 3 2 115 130
 11 0 110 107
 7 1 85 90
 7 2 89 93
 9 0 101 94
 7 2 72 91
 11 2 80 79
 4 0 78 70
 13 1 73 69
 4 4 67 71
 7 2 52 60
 2 1 71 62
 3 0 51 59
 3 1 61 51
 3 2 48 47
 6 1 53 45
 5 0 41 50
 3 0 44 49
 2 4 39 33
 5 0 35 35
 5 1 35 30
 2 0 47 26
 4 3 35 28
 3 2 25 31
 6 1 27 27
 5 2 27 23
 6 1 21 23
 3 1 23 19
 4 1 26 16
 5 0 22 23
 5 2 15 14
 4 1 19 22
 4 1 28 23
 2 1 14 8
 4 1 13 13
 1 0 17 14
 7 3 22 21
 5 1 11 14
 6 0 11 8
 2 0 28 11
 3 0 14 13
 3 0 14 9
 3 1 12 4
 4 0 14 10
 10 1 5 4
 1 1 8 13
 1 3 11 7
 4 2 8 6
 2 2 10 8
 3 0 4 5
 1 1 7 6
 4 1 8 7
 2 1 6 4
 1 0 3 8
 3 1 3 1
 2 1 5 7
 1 1 4 8
 4 2 6 5
 4 1 5 7
 5 0 3 3
 3 0 1 4
 1 0 0 7
 3 0 6 3
 1 1 0 4
 3 0 4 4
 1 0 6 6
 3 0 2 6
 1 1 6 3
 6 0 4 1
 1 1 4 3
 1 1 1 0
 3 0 1 1
 0 2 3 1
 4 2 1 5
 0 1 1 3
 1 0 3 2
 4 1 3 2
 2 0 5 4
 3 2 2 2
 2 1 4 1
 2 0 3 2
 1 0 1 0
 2 2 1 1
 1 0 1 3
 3 0 1 5
 1 0 0 2
 0 0 1 3
 1 0 0 0
 0 0 0 3
 3 1 0 3
 4 0 2 0
 2 1 2 4
 2 2 0 1
 1 2 1 0
 1 0 2 6
 2 0 0 0
 3 0 0 1
 0 0 2 0
 0 1 0 1
 1 2 0 0
 0 1 0 0
 1 1 2 1
 0 1 0 0
 2 1 0 1
 2 2 3 0
 3 2 2 0
 1 2 1 1
 2 0 0 0
 1 0 0 0
 1 2 1 1
 1 2 0 0
 0 0 0 0
 0 1 0 2
 0 1 1 2
 1 0 1 1
 4 0 0 2
 1 0 0 0
 0 1 2 0
 1 1 1 2
 3 0 2 1
 1 1 1 0
 4 1 1 0
 3 1 0 0
 1 0 1 0
 3 0 3 0
 2 0 0 1
 1 2 3 1
 0 0 0 1
 1 0 2 0
 1 2 0 0
 3 1 0 1
 0 0 1 1
 0 0 0 0
 2 1 1 0
 2 1 1 1
 1 1 0 0
 1 0 0 0
 2 0 0 0
 0 0 0 0
 0 0 1 2
 152 152 44 37
 0 0 39 43
