 20 8543 0 0
 73 7924 0 0
 99 6903 0 1
 156 6430 0 0
 214 5678 2 3
 248 5288 0 1
 291 4791 0 0
 314 4397 1 0
 364 3905 1 1
 399 3686 0 1
 481 3183 1 0
 505 3045 0 3
 583 2811 0 1
 573 2453 0 1
 584 2352 1 0
 662 2090 1 0
 658 1881 0 0
 731 1723 0 1
 798 1596 0 1
 790 1484 1 0
 828 1368 1 2
 910 1296 2 3
 965 1140 0 0
 935 999 0 3
 911 969 0 0
 980 921 0 0
 1037 824 1 1
 1040 762 0 1
 1071 672 2 1
 1061 606 0 0
 1074 578 2 0
 986 532 0 0
 1137 515 1 0
 1169 434 0 2
 1163 443 0 2
 1196 437 3 1
 1174 347 1 0
 1230 326 1 1
 1158 345 3 1
 1232 294 0 2
 1237 262 2 1
 1206 282 2 0
 1215 261 0 0
 1114 258 2 0
 1285 237 1 2
 1235 196 0 2
 1201 176 2 0
 1250 176 3 0
 1232 143 1 0
 1231 184 1 1
 1239 120 1 0
 1197 141 2 1
 1231 136 3 3
 1218 120 2 1
 1189 110 1 1
 1208 106 1 7
 1161 100 1 1
 1177 94 1 2
 1108 93 7 1
 1125 79 2 6
 1119 87 4 5
 1129 78 4 2
 1142 80 1 5
 1055 67 2 1
 1075 67 0 0
 1011 61 1 3
 1039 47 1 2
 1047 62 3 3
 994 68 1 4
 1066 47 0 2
 985 64 3 0
 966 38 2 5
 921 54 4 2
 880 47 1 3
 920 45 3 2
 862 44 1 3
 930 50 1 2
 862 37 3 2
 794 42 1 5
 823 41 5 2
 772 39 3 4
 760 29 2 3
 758 32 3 5
 686 26 2 2
 732 25 2 8
 701 35 5 6
 668 34 6 3
 683 13 2 1
 647 26 4 5
 614 18 7 5
 626 23 5 5
 615 24 6 6
 617 17 3 4
 573 19 5 3
 554 25 5 8
 515 16 3 6
 506 14 6 1
 468 23 8 5
 492 16 11 4
 469 19 7 6
 443 17 15 11
 487 26 9 3
 424 22 15 10
 417 20 8 7
 419 12 10 5
 380 18 5 7
 354 17 8 4
 349 14 10 12
 341 11 11 12
 327 16 11 5
 325 12 16 14
 292 12 7 14
 312 16 14 17
 252 12 17 11
 316 9 20 14
 261 14 16 19
 240 15 22 15
 255 9 17 18
 264 13 13 17
 266 6 21 31
 209 15 14 22
 215 8 17 26
 204 9 31 22
 192 17 24 35
 214 7 34 29
 190 11 27 36
 171 10 29 43
 167 6 28 31
 176 9 36 30
 186 8 47 42
 160 5 35 53
 159 8 39 52
 190 7 48 57
 155 11 48 61
 138 11 63 63
 126 9 75 73
 117 8 67 72
 132 7 67 85
 99 4 95 88
 103 5 91 81
 129 7 95 104
 114 5 96 77
 74 5 98 103
 108 4 115 126
 105 5 104 120
 79 3 143 141
 95 11 142 140
 80 9 161 166
 73 7 175 191
 90 3 192 201
 70 7 199 222
 72 8 209 210
 74 6 207 222
 74 5 265 254
 54 8 293 297
 63 8 270 311
 66 6 310 300
 64 6 305 353
 63 3 327 340
 48 5 428 358
 60 6 436 404
 55 5 430 411
 34 4 448 476
 43 2 477 522
 50 3 578 517
 52 7 573 556
 50 3 626 600
 40 5 636 638
 51 4 694 712
 33 6 705 725
 46 3 715 782
 39 7 807 767
 39 3 827 863
 40 4 891 899
 45 5 892 887
 33 6 984 948
 31 6 988 1027
 39 0 1022 1048
 43 4 1114 1063
 30 7 1144 1131
 26 1 1147 1121
 28 3 1257 1209
 27 2 1277 1233
 19 0 1275 1283
 33 3 1378 1311
 34 3 1380 1351
 19 2 1383 1426
 18 7 1415 1383
 26 3 1468 1500
 14 3 1481 1610
 22 1 1529 1591
 20 3 1629 1595
 18 4 1521 1596
 20 5 1655 1606
 22 3 1559 1613
 16 4 1673 1668
 14 2 1697 1648
 23 4 1644 1647
 16 1 1619 1688
 19 3 1704 1673
 17 6 1650 1711
 26 3 1668 1664
 23 6 1646 1643
 20 5 1668 1526
 12 6 1582 1587
 18 5 1600 1655
 17 2 1580 1570
 13 1 1580 1566
 15 2 1514 1500
 17 2 1504 1584
 10 1 1462 1524
 13 2 1576 1501
 16 3 1447 1391
 13 2 1431 1386
 16 4 1359 1406
 12 1 1304 1303
 10 2 1266 1257
 16 2 1123 1217
 5 3 1215 1234
 17 4 1169 1119
 8 1 1098 1151
 10 2 1059 1010
 17 0 1019 1035
 13 3 993 975
 12 2 937 982
 7 1 907 940
 8 1 857 791
 10 4 864 787
 5 2 782 803
 9 1 734 740
 8 2 704 689
 16 1 631 643
 10 3 629 595
 11 2 619 593
 7 4 545 542
 6 5 561 570
 7 2 490 498
 6 3 473 504
 5 4 437 438
 6 2 405 445
 6 4 396 391
 6 3 365 301
 13 1 339 316
 10 3 315 286
 3 4 292 278
 10 4 279 291
 10 1 249 270
 5 2 233 204
 9 0 211 214
 10 4 188 192
 6 0 180 188
 7 0 178 168
 5 0 175 159
 8 1 150 150
 6 2 126 147
 3 2 110 113
 4 3 115 98
 8 2 99 100
 5 3 110 116
 5 3 86 97
 7 1 82 96
 6 0 77 79
 6 4 72 80
 5 2 83 59
 7 2 71 65
 9 1 67 84
 0 1 53 59
 7 0 51 55
 5 2 50 47
 3 2 40 39
 2 4 31 36
 3 2 34 30
 4 2 34 37
 7 3 38 26
 4 0 36 25
 4 1 34 34
 3 1 21 23
 6 0 31 21
 3 2 29 20
 7 1 26 18
 2 1 20 17
 5 3 21 11
 4 1 23 21
 7 0 15 10
 7 0 15 21
 8 1 12 19
 7 1 10 18
 3 3 14 7
 3 1 18 9
 2 0 15 7
 2 1 17 18
 4 4 9 13
 4 1 19 11
 3 1 8 10
 3 2 10 15
 4 0 8 9
 4 1 13 9
 3 2 13 9
 0 3 8 5
 5 1 9 7
 2 3 12 8
 4 2 8 11
 3 3 7 6
 2 1 10 3
 2 1 9 12
 4 1 6 7
 6 0 7 5
 5 0 2 7
 7 1 9 3
 4 2 8 2
 4 0 4 7
 3 0 2 2
 6 3 6 1
 4 1 8 6
 3 0 4 5
 3 1 4 9
 1 1 6 2
 0 2 4 4
 1 1 5 1
 4 0 7 2
 5 1 3 2
 3 3 2 2
 4 0 3 1
 2 1 1 2
 5 3 3 2
 1 0 6 1
 2 0 2 2
 2 1 1 1
 4 2 2 1
 4 0 2 1
 5 4 4 4
 1 0 1 1
 1 3 3 4
 1 0 4 2
 2 0 2 1
 5 2 1 2
 0 1 1 4
 1 2 2 0
 2 1 0 3
 3 1 3 5
 1 2 3 0
 4 1 1 0
 3 0 4 2
 1 1 0 1
 3 0 2 1
 3 0 2 2
 4 1 2 0
 3 0 1 2
 4 0 0 3
 1 1 3 1
 0 0 1 3
 3 0 2 5
 0 0 1 1
 3 0 1 1
 1 0 1 1
 2 1 1 2
 2 1 1 0
 1 3 2 3
 4 2 3 0
 1 1 0 0
 3 1 3 2
 0 0 1 2
 3 0 3 1
 4 2 1 2
 3 1 2 1
 0 1 1 1
 3 1 0 1
 3 1 3 1
 2 1 2 0
 2 2 2 1
 1 2 1 0
 0 1 1 1
 1 1 1 0
 1 1 0 0
 0 3 1 3
 0 1 0 2
 0 1 1 0
 2 0 0 0
 5 0 0 0
 2 1 1 0
 0 2 1 1
 3 0 0 3
 1 0 1 1
 3 0 0 0
 4 0 0 0
 2 1 1 1
 2 1 1 0
 4 0 3 0
 0 0 1 0
 3 1 0 0
 0 0 0 1
 0 1 0 1
 1 1 0 0
 1 0 0 0
 1 0 0 0
 1 0 1 0
 1 1 1 1
 0 0 0 0
 1 0 0 0
 1 1 0 1
 123 123 25 28
 0 0 27 22
