 8 3385 0 1
 22 3152 1 0
 44 2966 1 0
 61 2759 0 0
 74 2541 0 1
 98 2364 0 1
 116 2158 0 1
 152 1971 0 0
 124 1896 0 0
 176 1677 0 0
 173 1573 0 0
 200 1551 1 0
 193 1350 0 0
 222 1292 2 1
 264 1222 0 0
 250 1145 0 0
 283 1068 0 0
 272 940 0 0
 338 955 0 0
 315 859 0 0
 331 783 0 0
 358 734 1 0
 374 632 0 1
 386 590 1 0
 394 589 0 0
 387 615 0 1
 396 485 0 0
 398 527 0 0
 448 478 1 0
 407 446 0 0
 471 391 0 1
 466 352 0 0
 505 342 1 0
 458 333 0 0
 529 311 1 0
 489 282 0 0
 495 273 0 0
 504 245 1 1
 550 254 1 0
 531 238 0 0
 503 213 2 0
 555 208 1 0
 565 172 2 1
 524 166 1 3
 536 154 0 0
 537 164 1 0
 558 128 0 1
 595 131 0 0
 537 150 0 0
 556 117 2 3
 514 113 0 1
 545 117 1 1
 577 92 1 1
 564 103 3 0
 528 89 1 1
 529 71 0 2
 552 77 2 0
 579 91 1 1
 535 73 2 0
 541 66 0 2
 508 59 0 0
 517 66 1 0
 529 55 0 0
 524 61 1 1
 528 61 0 1
 472 53 1 0
 538 36 1 4
 496 39 1 1
 529 50 1 2
 493 55 1 1
 468 47 2 3
 488 32 0 1
 474 36 2 0
 477 34 2 0
 467 23 1 1
 484 27 1 2
 452 26 4 3
 456 36 2 0
 459 25 2 2
 451 26 1 2
 428 28 3 0
 430 22 2 2
 439 30 1 0
 381 17 2 3
 390 12 1 1
 414 16 3 1
 396 15 2 1
 405 17 1 3
 363 18 3 5
 372 12 0 2
 341 15 1 3
 358 8 1 2
 334 13 6 6
 359 12 3 2
 292 16 2 3
 299 8 2 6
 287 10 3 4
 280 12 3 1
 272 5 7 2
 310 15 2 2
 320 3 7 4
 301 9 5 3
 264 11 5 5
 241 9 2 9
 288 7 4 10
 266 14 6 8
 247 8 2 5
 257 11 8 4
 243 8 8 9
 221 8 6 7
 220 4 4 6
 211 7 9 14
 182 15 7 8
 227 6 11 8
 165 4 13 4
 190 9 7 9
 209 12 11 9
 171 9 18 13
 173 7 15 9
 166 10 18 19
 166 10 11 15
 173 8 18 22
 147 5 14 23
 151 3 23 18
 147 8 23 21
 164 7 25 23
 134 4 23 21
 131 4 35 19
 131 1 31 41
 133 4 28 30
 109 3 34 39
 115 3 40 32
 98 5 34 32
 103 6 29 34
 118 7 45 45
 98 1 47 49
 90 2 49 44
 82 5 57 54
 110 6 66 55
 96 3 69 70
 78 3 75 72
 92 2 66 81
 73 6 55 81
 88 3 79 73
 60 8 97 91
 95 6 90 109
 57 2 107 118
 62 4 104 97
 68 3 112 122
 50 1 112 131
 56 3 149 124
 67 2 145 148
 58 3 141 159
 57 3 154 159
 53 4 197 188
 48 1 176 197
 54 3 185 200
 41 2 181 200
 45 4 214 257
 48 1 246 209
 47 2 247 255
 34 2 275 239
 48 1 259 272
 31 1 293 292
 31 2 304 318
 43 2 310 270
 43 2 309 329
 42 2 354 348
 35 4 331 395
 28 4 394 413
 28 2 400 396
 32 2 413 429
 21 3 427 433
 24 4 452 405
 23 0 453 436
 22 2 473 448
 30 0 500 519
 22 3 575 530
 24 2 519 563
 26 3 530 528
 20 3 564 589
 26 2 570 584
 19 3 588 599
 12 0 599 636
 14 4 625 634
 15 0 639 585
 11 2 624 647
 17 0 647 627
 17 1 660 651
 15 3 723 660
 9 2 760 696
 10 1 693 669
 11 3 673 730
 11 2 704 764
 17 2 711 695
 10 0 724 735
 8 3 774 752
 11 1 704 746
 5 0 738 771
 15 2 739 746
 3 1 740 735
 9 1 711 740
 12 2 682 730
 8 0 740 723
 7 1 764 705
 15 1 731 671
 10 2 744 702
 10 2 720 724
 7 3 687 704
 7 2 721 714
 7 3 706 703
 14 2 660 683
 7 2 706 668
 7 2 636 645
 6 0 633 640
 8 0 698 666
 13 2 570 591
 11 1 572 578
 9 0 584 584
 11 2 534 561
 8 0 523 542
 5 1 543 540
 6 2 480 522
 8 1 502 487
 6 1 516 475
 4 1 461 453
 3 2 434 400
 3 2 459 425
 4 3 424 386
 3 1 384 385
 6 2 368 394
 10 2 317 368
 3 3 308 345
 2 2 333 300
 6 1 331 316
 5 1 303 311
 6 0 276 273
 1 0 288 278
 7 0 302 237
 3 0 244 247
 9 1 240 213
 6 1 228 206
 3 0 210 228
 4 1 197 201
 2 2 177 187
 3 1 161 166
 4 1 162 129
 2 2 153 164
 6 1 143 151
 3 2 142 120
 2 1 135 120
 3 1 123 123
 3 3 90 114
 3 0 103 114
 2 0 84 94
 0 4 83 92
 3 0 97 74
 3 0 73 93
 2 0 58 90
 5 0 56 76
 4 2 62 56
 2 0 60 55
 5 0 59 51
 4 1 47 47
 1 2 49 61
 1 0 34 40
 3 1 34 41
 4 1 46 39
 4 1 33 31
 2 0 42 34
 3 1 36 24
 4 2 25 30
 0 1 33 31
 2 1 21 28
 2 1 28 22
 2 1 18 16
 3 1 22 16
 4 0 19 23
 1 0 17 16
 2 1 15 13
 3 2 13 13
 1 0 9 10
 2 1 15 11
 2 1 7 12
 2 0 15 8
 0 1 7 14
 2 0 14 9
 2 0 11 10
 5 1 6 6
 3 1 5 5
 3 0 9 7
 3 0 2 5
 2 2 4 6
 0 0 5 5
 2 0 6 5
 1 1 7 3
 2 0 2 9
 1 0 6 5
 2 0 7 0
 2 0 2 3
 3 0 4 3
 2 1 5 5
 4 0 9 4
 2 0 4 4
 5 0 2 2
 2 0 7 5
 2 3 4 6
 0 0 8 2
 0 2 3 1
 1 0 0 3
 0 0 2 3
 2 0 2 2
 2 0 1 4
 2 0 1 1
 2 0 1 6
 2 0 2 2
 2 0 1 5
 3 0 0 0
 1 1 0 2
 4 1 0 2
 0 0 2 0
 0 0 2 1
 1 0 1 2
 1 0 2 0
 1 0 4 1
 2 0 0 2
 1 0 3 0
 2 1 4 2
 0 0 0 2
 4 0 3 4
 1 0 1 0
 2 0 0 1
 1 0 0 3
 0 1 0 1
 2 1 3 2
 2 1 1 1
 1 1 0 1
 0 1 1 0
 1 0 1 0
 1 1 1 0
 1 0 0 3
 1 0 3 0
 1 1 0 1
 1 0 0 1
 0 2 0 2
 0 0 0 2
 0 1 1 1
 1 0 2 0
 0 0 0 2
 2 1 3 1
 1 0 0 3
 2 0 1 1
 0 0 1 0
 0 2 1 0
 0 0 2 1
 0 0 0 1
 0 0 1 2
 2 1 0 1
 0 1 0 1
 0 2 1 1
 0 1 1 0
 1 1 0 0
 0 0 1 1
 0 1 0 0
 0 0 1 1
 1 1 0 0
 3 0 0 0
 1 2 0 1
 1 0 0 0
 1 0 0 0
 0 0 0 0
 2 0 0 1
 1 0 0 0
 0 0 1 0
 1 1 0 1
 1 0 1 0
 1 0 1 0
 0 0 0 0
 2 0 1 0
 3 2 1 0
 1 0 0 1
 1 0 0 0
 1 1 1 0
 2 0 0 1
 0 1 0 0
 0 0 0 0
 0 0 2 1
 1 0 1 0
 0 0 0 0
 2 0 1 0
 0 2 0 0
 2 0 0 0
 0 0 0 0
 0 2 0 0
 0 0 0 0
 2 1 1 0
 2 0 0 1
 1 1 0 0
 1 0 0 0
 0 0 0 0
 81 81 28 25
 0 0 22 32
